ID,category_A,category_B,category_C,category_D,category_E,category_F
QCT1000000088,0,0,0,0,0,0
QCT1000000089,0,0,0,0,0,0
QCT1000000090,0,0,0,0,0,0
QCT1000000091,0,0,0,0,0,0
QCT1000000092,0,0,0,0,0,0
QCT1000000093,0,0,0,0,0,0
QCT1000000094,0,0,0,0,0,0
QCT1000000095,0,0,0,0,0,0
QCT1000000096,0,0,0,0,0,0
QCT1000000097,0,0,0,0,0,0
QCT1000000098,0,0,0,0,0,0
QCT1000000099,0,0,0,0,0,0
QCT1000000100,0,0,0,0,0,0
QCT1000000101,0,0,0,0,0,0
QCT1000000102,0,0,0,0,0,0
QCT1000000103,0,0,0,0,0,0
QCT1000000104,0,0,0,0,0,0
QCT1000000105,1,1,1,1,1,1
QCT1000000106,0,0,0,0,0,0
QCT1000000107,0,0,0,0,0,0
QCT1000000108,0,0,0,0,0,0
QCT1000000109,0,0,0,0,0,0
QCT1000000110,0,0,0,0,0,0
QCT1000000111,0,0,0,0,0,0
QCT1000000112,0,0,0,0,0,0
QCT1000000113,0,0,0,0,0,0
QCT1000000114,0,0,0,0,0,0
QCT1000000115,0,0,0,0,0,0
QCT1000000116,0,0,0,0,0,0
QCT1000000117,0,0,0,0,0,0
QCT1000000118,0,0,0,0,0,0
QCT1000000119,0,0,0,0,0,0
QCT1000000120,0,0,0,0,0,0
QCT1000000121,0,0,0,0,0,0
QCT1000000122,0,0,0,0,0,0
QCT1000000123,0,0,0,0,0,0
QCT1000000124,0,0,0,0,0,0
QCT1000000125,0,0,0,0,0,0
QCT1000000126,0,0,0,0,0,0
QCT1000000127,0,0,0,0,0,0
QCT1000000128,0,0,0,0,0,0
QCT1000000129,0,0,0,0,0,0
QCT1000000130,0,0,0,0,0,0
QCT1000000131,0,0,0,0,0,0
QCT1000000132,0,0,0,0,0,0
QCT1000000133,0,0,0,0,0,0
QCT1000000134,0,0,0,0,0,0
QCT1000000135,0,0,0,0,0,0
QCT1000000136,0,0,0,0,0,0
QCT1000000137,0,0,0,0,0,0
QCT1000000138,0,0,0,0,0,0
QCT1000000139,0,0,0,0,0,0
QCT1000000140,0,0,0,0,0,0
QCT1000000141,0,0,0,0,0,0
QCT1000000142,0,0,0,0,0,0
QCT1000000143,0,0,0,0,0,0
QCT1000000144,0,0,0,0,0,0
QCT1000000145,0,0,0,0,0,0
QCT1000000146,0,0,0,0,0,0
QCT1000000147,0,0,0,0,0,0
QCT1000000148,0,0,0,0,0,0
QCT1000000149,0,0,0,0,0,0
QCT1000000150,0,0,0,0,0,0
QCT1000000151,0,0,0,0,0,0
QCT1000000152,0,0,0,0,0,0
QCT1000000153,0,0,0,0,0,0
QCT1000000154,0,0,0,0,0,0
QCT1000000155,0,0,0,0,0,0
QCT1000000156,1,1,1,1,1,1
QCT1000000157,0,0,0,0,0,0
QCT1000000158,0,0,0,0,0,0
QCT1000000159,0,0,0,0,0,0
QCT1000000160,0,0,0,0,0,0
QCT1000000161,0,0,0,0,0,0
QCT1000000162,0,0,0,0,0,0
QCT1000000163,0,0,0,0,0,0
QCT1000000164,0,0,0,0,0,0
QCT1000000165,0,0,0,0,0,0
QCT1000000166,0,0,0,0,0,0
QCT1000000167,0,0,0,0,0,0
QCT1000000168,0,0,0,0,0,0
QCT1000000169,0,0,0,0,0,0
QCT1000000170,0,0,0,0,0,0
QCT1000000171,0,0,0,0,0,0
QCT1000000172,0,0,0,0,0,0
QCT1000000173,0,0,0,0,0,0
QCT1000000174,0,0,0,0,0,0
QCT1000000175,0,0,0,0,0,0
QCT1000000176,0,0,0,0,0,0
QCT1000000177,0,0,0,0,0,0
QCT1000000178,0,0,0,0,0,0
QCT1000000179,0,0,0,0,0,0
QCT1000000180,0,0,0,0,0,0
QCT1000000181,0,0,0,0,0,0
QCT1000000182,0,0,0,0,0,0
QCT1000000183,0,0,0,0,0,0
QCT1000000184,0,0,0,0,0,0
QCT1000000185,0,0,0,0,0,0
QCT1000000186,0,0,0,0,0,0
QCT1000000187,0,0,0,0,0,0
QCT1000000188,1,1,1,1,1,1
QCT1000000189,0,0,0,0,0,0
QCT1000000190,0,0,0,0,0,0
QCT1000000191,0,0,0,0,0,0
QCT1000000192,0,0,0,0,0,0
QCT1000000193,0,0,0,0,0,0
QCT1000000194,0,0,0,0,0,0
QCT1000000195,0,0,0,0,0,0
QCT1000000196,0,0,0,0,0,0
QCT1000000197,0,0,0,0,0,0
QCT1000000198,0,0,0,0,0,0
QCT1000000199,0,0,0,0,0,0
QCT1000000200,0,0,0,0,0,0
QCT1000000201,0,0,0,0,0,0
QCT1000000202,0,0,0,0,0,0
QCT1000000203,0,0,0,0,0,0
QCT1000000204,0,0,0,0,0,0
QCT1000000205,0,0,0,0,0,0
QCT1000000206,0,0,0,0,0,0
QCT1000000207,0,0,0,0,0,0
QCT1000000208,0,0,0,0,0,0
QCT1000000209,0,0,0,0,0,0
QCT1000000210,0,0,0,0,0,0
QCT1000000211,0,0,0,0,0,0
QCT1000000212,0,0,0,0,0,0
QCT1000000213,0,0,0,0,0,0
QCT1000000214,0,0,0,0,0,0
QCT1000000215,0,0,0,0,0,0
QCT1000000216,0,0,0,0,0,0
QCT1000000217,0,0,0,0,0,0
QCT1000000218,0,0,0,0,0,0
QCT1000000219,0,0,0,0,0,0
QCT1000000220,0,0,0,0,0,0
QCT1000000221,0,0,0,0,0,0
QCT1000000222,0,0,0,0,0,0
QCT1000000223,0,0,0,0,0,0
QCT1000000224,0,0,0,0,0,0
QCT1000000225,0,0,0,0,0,0
QCT1000000226,0,0,0,0,0,0
QCT1000000227,0,0,0,0,0,0
QCT1000000228,0,0,0,0,0,0
QCT1000000229,0,0,0,0,0,0
QCT1000000230,0,0,0,0,0,0
QCT1000000231,0,0,0,0,0,0
QCT1000000232,0,0,0,0,0,0
QCT1000000233,0,0,0,0,0,0
QCT1000000234,0,0,0,0,0,0
QCT1000000235,0,0,0,0,0,0
QCT1000000236,0,0,0,0,0,0
QCT1000000237,0,0,0,0,0,0
QCT1000000238,0,0,0,0,0,0
QCT1000000239,0,0,0,0,0,0
QCT1000000240,0,0,0,0,0,0
QCT1000000241,0,0,0,0,0,0
QCT1000000242,0,0,0,0,0,0
QCT1000000243,0,0,0,0,0,0
QCT1000000244,0,0,0,0,0,0
QCT1000000245,0,0,0,0,0,0
QCT1000000246,0,0,0,0,0,0
QCT1000000247,0,0,0,0,0,0
QCT1000000248,0,0,0,0,0,0
QCT1000000249,0,0,0,0,0,0
QCT1000000250,0,0,0,0,0,0
QCT1000000251,0,0,0,0,0,0
QCT1000000252,0,0,0,0,0,0
QCT1000000253,0,0,0,0,0,0
QCT1000000254,0,0,0,0,0,0
QCT1000000255,0,0,0,0,0,0
QCT1000000256,0,0,0,0,0,0
QCT1000000257,0,0,0,0,0,0
QCT1000000258,0,0,0,0,0,0
QCT1000000259,0,0,0,0,0,0
QCT1000000260,0,0,0,0,0,0
QCT1000000261,0,0,0,0,0,0
QCT1000000262,0,0,0,0,0,0
QCT1000000263,0,0,0,0,0,0
QCT1000000264,0,0,0,0,0,0
QCT1000000265,0,0,0,0,0,0
QCT1000000266,0,0,0,0,0,0
QCT1000000267,0,0,0,0,0,0
QCT1000000268,0,0,0,0,0,0
QCT1000000269,0,0,0,0,0,0
QCT1000000270,0,0,0,0,0,0
QCT1000000271,0,0,0,0,0,0
QCT1000000272,0,0,0,0,0,0
QCT1000000273,0,0,0,0,0,0
QCT1000000274,0,0,0,0,0,0
QCT1000000275,0,0,0,0,0,0
QCT1000000276,0,0,0,0,0,0
QCT1000000277,0,0,0,0,0,0
QCT1000000278,0,0,0,0,0,0
QCT1000000279,0,0,0,0,0,0
QCT1000000280,0,0,0,0,0,0
QCT1000000281,0,0,0,0,0,0
QCT1000000282,0,0,0,0,0,0
QCT1000000283,0,0,0,0,0,0
QCT1000000284,0,0,0,0,0,0
QCT1000000285,0,0,0,0,0,0
QCT1000000286,0,0,0,0,0,0
QCT1000000287,0,0,0,0,0,0
QCT1000000288,0,0,0,0,0,0
QCT1000000289,0,0,0,0,0,0
QCT1000000290,0,0,0,0,0,0
QCT1000000291,0,0,0,0,0,0
QCT1000000292,1,1,1,1,1,1
QCT1000000293,0,0,0,0,0,0
QCT1000000294,0,0,0,0,0,0
QCT1000000295,0,0,0,0,0,0
QCT1000000296,0,0,0,0,0,0
QCT1000000297,0,0,0,0,0,0
QCT1000000298,0,0,0,0,0,0
QCT1000000299,0,0,0,0,0,0
QCT1000000300,0,0,0,0,0,0
QCT1000000301,0,0,0,0,0,0
QCT1000000302,0,0,0,0,0,0
QCT1000000303,0,0,0,0,0,0
QCT1000000304,0,0,0,0,0,0
QCT1000000305,0,0,0,0,0,0
QCT1000000306,0,0,0,0,0,0
QCT1000000307,0,0,0,0,0,0
QCT1000000308,0,0,0,0,0,0
QCT1000000309,0,0,0,0,0,0
QCT1000000310,0,0,0,0,0,0
QCT1000000311,0,0,0,0,0,0
QCT1000000312,0,0,0,0,0,0
QCT1000000313,0,0,0,0,0,0
QCT1000000314,0,0,0,0,0,0
QCT1000000315,0,0,0,0,0,0
QCT1000000316,0,0,0,0,0,0
QCT1000000317,0,0,0,0,0,0
QCT1000000318,0,0,0,0,0,0
QCT1000000319,0,0,0,0,0,0
QCT1000000320,0,0,0,0,0,0
QCT1000000321,0,0,0,0,0,0
QCT1000000322,0,0,0,0,0,0
QCT1000000323,0,0,0,0,0,0
QCT1000000324,0,0,0,0,0,0
QCT1000000325,0,0,0,0,0,0
QCT1000000326,0,0,0,0,0,0
QCT1000000327,0,0,0,0,0,0
QCT1000000328,0,0,0,0,0,0
QCT1000000329,0,0,0,0,0,0
QCT1000000330,0,0,0,0,0,0
QCT1000000331,0,0,0,0,0,0
QCT1000000332,0,0,0,0,0,0
QCT1000000333,0,0,0,0,0,0
QCT1000000334,0,0,0,0,0,0
QCT1000000335,0,0,0,0,0,0
QCT1000000336,0,0,0,0,0,0
QCT1000000337,0,0,0,0,0,0
QCT1000000338,0,0,0,0,0,0
QCT1000000339,0,0,0,0,0,0
QCT1000000340,0,0,0,0,0,0
QCT1000000341,0,0,0,0,0,0
QCT1000000342,0,0,0,0,0,0
QCT1000000343,0,0,0,0,0,0
QCT1000000344,0,0,0,0,0,0
QCT1000000345,0,0,0,0,0,0
QCT1000000346,0,0,0,0,0,0
QCT1000000347,0,0,0,0,0,0
QCT1000000348,0,0,0,0,0,0
QCT1000000349,0,0,0,0,0,0
QCT1000000350,0,0,0,0,0,0
QCT1000000351,0,0,0,0,0,0
QCT1000000352,0,0,0,0,0,0
QCT1000000353,0,0,0,0,0,0
QCT1000000354,0,0,0,0,0,0
QCT1000000355,0,0,0,0,0,0
QCT1000000356,0,0,0,0,0,0
QCT1000000357,0,0,0,0,0,0
QCT1000000358,0,0,0,0,0,0
QCT1000000359,0,0,0,0,0,0
QCT1000000360,0,0,0,0,0,0
QCT1000000361,0,0,0,0,0,0
QCT1000000362,0,0,0,0,0,0
QCT1000000363,0,0,0,0,0,0
QCT1000000364,0,0,0,0,0,0
QCT1000000365,0,0,0,0,0,0
QCT1000000366,0,0,0,0,0,0
QCT1000000367,0,0,0,0,0,0
QCT1000000368,0,0,0,0,0,0
QCT1000000369,0,0,0,0,0,0
QCT1000000370,0,0,0,0,0,0
QCT1000000371,0,0,0,0,0,0
QCT1000000372,0,0,0,0,0,0
QCT1000000373,0,0,0,0,0,0
QCT1000000374,0,0,0,0,0,0
QCT1000000375,0,0,0,0,0,0
QCT1000000376,0,0,0,0,0,0
QCT1000000377,0,0,0,0,0,0
QCT1000000378,0,0,0,0,0,0
QCT1000000379,0,0,0,0,0,0
QCT1000000380,0,0,0,0,0,0
QCT1000000381,0,0,0,0,0,0
QCT1000000382,0,0,0,0,0,0
QCT1000000383,0,0,0,0,0,0
QCT1000000384,0,0,0,0,0,0
QCT1000000385,0,0,0,0,0,0
QCT1000000386,0,0,0,0,0,0
QCT1000000387,0,0,0,0,0,0
QCT1000000388,0,0,0,0,0,0
QCT1000000389,0,0,0,0,0,0
QCT1000000390,1,1,1,1,1,1
QCT1000000391,0,0,0,0,0,0
QCT1000000392,0,0,0,0,0,0
QCT1000000393,0,0,0,0,0,0
QCT1000000394,1,1,1,1,1,1
QCT1000000395,0,0,0,0,0,0
QCT1000000396,0,0,0,0,0,0
QCT1000000397,0,0,0,0,0,0
QCT1000000398,0,0,0,0,0,0
QCT1000000399,0,0,0,0,0,0
QCT1000000400,0,0,0,0,0,0
QCT1000000401,0,0,0,0,0,0
QCT1000000402,0,0,0,0,0,0
QCT1000000403,0,0,0,0,0,0
QCT1000000404,0,0,0,0,0,0
QCT1000000405,0,0,0,0,0,0
QCT1000000406,0,0,0,0,0,0
QCT1000000407,0,0,0,0,0,0
QCT1000000408,0,0,0,0,0,0
QCT1000000409,0,0,0,0,0,0
QCT1000000410,0,0,0,0,0,0
QCT1000000411,0,0,0,0,0,0
QCT1000000412,0,0,0,0,0,0
QCT1000000413,0,0,0,0,0,0
QCT1000000414,0,0,0,0,0,0
QCT1000000415,0,0,0,0,0,0
QCT1000000416,0,0,0,0,0,0
QCT1000000417,0,0,0,0,0,0
QCT1000000418,0,0,0,0,0,0
QCT1000000419,0,0,0,0,0,0
QCT1000000420,0,0,0,0,0,0
QCT1000000421,0,0,0,0,0,0
QCT1000000422,0,0,0,0,0,0
QCT1000000423,0,0,0,0,0,0
QCT1000000424,0,0,0,0,0,0
QCT1000000425,0,0,0,0,0,0
QCT1000000426,0,0,0,0,0,0
QCT1000000427,0,0,0,0,0,0
QCT1000000428,0,0,0,0,0,0
QCT1000000429,0,0,0,0,0,0
QCT1000000430,0,0,0,0,0,0
QCT1000000431,1,1,1,1,1,1
QCT1000000432,0,0,0,0,0,0
QCT1000000433,0,0,0,0,0,0
QCT1000000434,0,0,0,0,0,0
QCT1000000435,1,1,1,1,1,1
QCT1000000436,0,0,0,0,0,0
QCT1000000437,0,0,0,0,0,0
QCT1000000438,0,0,0,0,0,0
QCT1000000439,0,0,0,0,0,0
QCT1000000440,0,0,0,0,0,0
QCT1000000441,0,0,0,0,0,0
QCT1000000442,0,0,0,0,0,0
QCT1000000443,0,0,0,0,0,0
QCT1000000444,0,0,0,0,0,0
QCT1000000445,0,0,0,0,0,0
QCT1000000446,0,0,0,0,0,0
QCT1000000447,0,0,0,0,0,0
QCT1000000448,0,0,0,0,0,0
QCT1000000449,0,0,0,0,0,0
QCT1000000450,0,0,0,0,0,0
QCT1000000451,0,0,0,0,0,0
QCT1000000452,0,0,0,0,0,0
QCT1000000453,0,0,0,0,0,0
QCT1000000454,0,0,0,0,0,0
QCT1000000455,0,0,0,0,0,0
QCT1000000456,0,0,0,0,0,0
QCT1000000457,0,0,0,0,0,0
QCT1000000458,0,0,0,0,0,0
QCT1000000459,1,1,1,1,1,1
QCT1000000460,0,0,0,0,0,0
QCT1000000461,0,0,0,0,0,0
QCT1000000462,0,0,0,0,0,0
QCT1000000463,0,0,0,0,0,0
QCT1000000464,0,0,0,0,0,0
QCT1000000465,0,0,0,0,0,0
QCT1000000466,0,0,0,0,0,0
QCT1000000467,0,0,0,0,0,0
QCT1000000468,0,0,0,0,0,0
QCT1000000469,0,0,0,0,0,0
QCT1000000470,0,0,0,0,0,0
QCT1000000471,0,0,0,0,0,0
QCT1000000472,0,0,0,0,0,0
QCT1000000473,0,0,0,0,0,0
QCT1000000474,0,0,0,0,0,0
QCT1000000475,1,1,1,1,1,1
QCT1000000476,0,0,0,0,0,0
QCT1000000477,0,0,0,0,0,0
QCT1000000478,0,0,0,0,0,0
QCT1000000479,0,0,0,0,0,0
QCT1000000480,0,0,0,0,0,0
QCT1000000481,0,0,0,0,0,0
QCT1000000482,0,0,0,0,0,0
QCT1000000483,0,0,0,0,0,0
QCT1000000484,0,0,0,0,0,0
QCT1000000485,0,0,0,0,0,0
QCT1000000486,0,0,0,0,0,0
QCT1000000487,0,0,0,0,0,0
QCT1000000488,0,0,0,0,0,0
QCT1000000489,0,0,0,0,0,0
QCT1000000490,0,0,0,0,0,0
QCT1000000491,0,0,0,0,0,0
QCT1000000492,0,0,0,0,0,0
QCT1000000493,0,0,0,0,0,0
QCT1000000494,0,0,0,0,0,0
QCT1000000495,0,0,0,0,0,0
QCT1000000496,0,0,0,0,0,0
QCT1000000497,0,0,0,0,0,0
QCT1000000498,0,0,0,0,0,0
QCT1000000499,0,0,0,0,0,0
QCT1000000500,0,0,0,0,0,0
QCT1000000501,0,0,0,0,0,0
QCT1000000502,0,0,0,0,0,0
QCT1000000503,0,0,0,0,0,0
QCT1000000504,0,0,0,0,0,0
QCT1000000505,0,0,0,0,0,0
QCT1000000506,0,0,0,0,0,0
QCT1000000507,0,0,0,0,0,0
QCT1000000508,0,0,0,0,0,0
QCT1000000509,1,1,1,1,1,1
QCT1000000510,0,0,0,0,0,0
QCT1000000511,0,0,0,0,0,0
QCT1000000512,0,0,0,0,0,0
QCT1000000513,0,0,0,0,0,0
QCT1000000514,0,0,0,0,0,0
QCT1000000515,0,0,0,0,0,0
QCT1000000516,0,0,0,0,0,0
QCT1000000517,0,0,0,0,0,0
QCT1000000518,0,0,0,0,0,0
QCT1000000519,0,0,0,0,0,0
QCT1000000520,0,0,0,0,0,0
QCT1000000521,0,0,0,0,0,0
QCT1000000522,0,0,0,0,0,0
QCT1000000523,0,0,0,0,0,0
QCT1000000524,0,0,0,0,0,0
QCT1000000525,0,0,0,0,0,0
QCT1000000526,1,1,1,1,1,1
QCT1000000527,0,0,0,0,0,0
QCT1000000528,0,0,0,0,0,0
QCT1000000529,0,0,0,0,0,0
QCT1000000530,0,0,0,0,0,0
QCT1000000531,0,0,0,0,0,0
QCT1000000532,0,0,0,0,0,0
QCT1000000533,1,1,1,1,1,1
QCT1000000534,0,0,0,0,0,0
QCT1000000535,0,0,0,0,0,0
QCT1000000536,0,0,0,0,0,0
QCT1000000537,0,0,0,0,0,0
QCT1000000538,0,0,0,0,0,0
QCT1000000539,0,0,0,0,0,0
QCT1000000540,0,0,0,0,0,0
QCT1000000541,0,0,0,0,0,0
QCT1000000542,0,0,0,0,0,0
QCT1000000543,0,0,0,0,0,0
QCT1000000544,0,0,0,0,0,0
QCT1000000545,0,0,0,0,0,0
QCT1000000546,1,1,1,1,1,1
QCT1000000547,0,0,0,0,0,0
QCT1000000548,0,0,0,0,0,0
QCT1000000549,0,0,0,0,0,0
QCT1000000550,0,0,0,0,0,0
QCT1000000551,0,0,0,0,0,0
QCT1000000552,1,1,1,1,1,1
QCT1000000553,1,1,1,1,1,1
QCT1000000554,0,0,0,0,0,0
QCT1000000555,0,0,0,0,0,0
QCT1000000556,0,0,0,0,0,0
QCT1000000557,0,0,0,0,0,0
QCT1000000558,0,0,0,0,0,0
QCT1000000559,0,0,0,0,0,0
QCT1000000560,0,0,0,0,0,0
QCT1000000561,0,0,0,0,0,0
QCT1000000562,0,0,0,0,0,0
QCT1000000563,0,0,0,0,0,0
QCT1000000564,0,0,0,0,0,0
QCT1000000565,0,0,0,0,0,0
QCT1000000566,0,0,0,0,0,0
QCT1000000567,0,0,0,0,0,0
QCT1000000568,0,0,0,0,0,0
QCT1000000569,0,0,0,0,0,0
QCT1000000570,0,0,0,0,0,0
QCT1000000571,0,0,0,0,0,0
QCT1000000572,0,0,0,0,0,0
QCT1000000573,0,0,0,0,0,0
QCT1000000574,1,1,1,1,1,1
QCT1000000575,0,0,0,0,0,0
QCT1000000576,0,0,0,0,0,0
QCT1000000577,0,0,0,0,0,0
QCT1000000578,0,0,0,0,0,0
QCT1000000579,0,0,0,0,0,0
QCT1000000580,0,0,0,0,0,0
QCT1000000581,1,1,1,1,1,1
QCT1000000582,0,0,0,0,0,0
QCT1000000583,1,1,1,1,1,1
QCT1000000584,0,0,0,0,0,0
QCT1000000585,0,0,0,0,0,0
QCT1000000586,0,0,0,0,0,0
QCT1000000587,0,0,0,0,0,0
QCT1000000588,0,0,0,0,0,0
QCT1000000589,0,0,0,0,0,0
QCT1000000590,0,0,0,0,0,0
QCT1000000591,0,0,0,0,0,0
QCT1000000592,0,0,0,0,0,0
QCT1000000593,0,0,0,0,0,0
QCT1000000594,0,0,0,0,0,0
QCT1000000595,0,0,0,0,0,0
QCT1000000596,0,0,0,0,0,0
QCT1000000597,0,0,0,0,0,0
QCT1000000598,0,0,0,0,0,0
QCT1000000599,0,0,0,0,0,0
QCT1000000600,0,0,0,0,0,0
QCT1000000601,0,0,0,0,0,0
QCT1000000602,0,0,0,0,0,0
QCT1000000603,0,0,0,0,0,0
QCT1000000604,0,0,0,0,0,0
QCT1000000605,0,0,0,0,0,0
QCT1000000606,0,0,0,0,0,0
QCT1000000607,0,0,0,0,0,0
QCT1000000608,0,0,0,0,0,0
QCT1000000609,0,0,0,0,0,0
QCT1000000610,0,0,0,0,0,0
QCT1000000611,0,0,0,0,0,0
QCT1000000612,0,0,0,0,0,0
QCT1000000613,0,0,0,0,0,0
QCT1000000614,0,0,0,0,0,0
QCT1000000615,0,0,0,0,0,0
QCT1000000616,0,0,0,0,0,0
QCT1000000617,0,0,0,0,0,0
QCT1000000618,0,0,0,0,0,0
QCT1000000619,0,0,0,0,0,0
QCT1000000620,0,0,0,0,0,0
QCT1000000621,0,0,0,0,0,0
QCT1000000622,0,0,0,0,0,0
QCT1000000623,0,0,0,0,0,0
QCT1000000624,1,1,1,1,1,1
QCT1000000625,0,0,0,0,0,0
QCT1000000626,0,0,0,0,0,0
QCT1000000627,0,0,0,0,0,0
QCT1000000628,0,0,0,0,0,0
QCT1000000629,0,0,0,0,0,0
QCT1000000630,0,0,0,0,0,0
QCT1000000631,0,0,0,0,0,0
QCT1000000632,0,0,0,0,0,0
QCT1000000633,0,0,0,0,0,0
QCT1000000634,1,1,1,1,1,1
QCT1000000635,0,0,0,0,0,0
QCT1000000636,0,0,0,0,0,0
QCT1000000637,0,0,0,0,0,0
QCT1000000638,0,0,0,0,0,0
QCT1000000639,0,0,0,0,0,0
QCT1000000640,0,0,0,0,0,0
QCT1000000641,0,0,0,0,0,0
QCT1000000642,0,0,0,0,0,0
QCT1000000643,0,0,0,0,0,0
QCT1000000644,0,0,0,0,0,0
QCT1000000645,0,0,0,0,0,0
QCT1000000646,0,0,0,0,0,0
QCT1000000647,0,0,0,0,0,0
QCT1000000648,0,0,0,0,0,0
QCT1000000649,0,0,0,0,0,0
QCT1000000650,0,0,0,0,0,0
QCT1000000651,0,0,0,0,0,0
QCT1000000652,0,0,0,0,0,0
QCT1000000653,0,0,0,0,0,0
QCT1000000654,0,0,0,0,0,0
QCT1000000655,0,0,0,0,0,0
QCT1000000656,0,0,0,0,0,0
QCT1000000657,0,0,0,0,0,0
QCT1000000658,0,0,0,0,0,0
QCT1000000659,0,0,0,0,0,0
QCT1000000660,0,0,0,0,0,0
QCT1000000661,0,0,0,0,0,0
QCT1000000662,0,0,0,0,0,0
QCT1000000663,0,0,0,0,0,0
QCT1000000664,0,0,0,0,0,0
QCT1000000665,0,0,0,0,0,0
QCT1000000666,0,0,0,0,0,0
QCT1000000667,0,0,0,0,0,0
QCT1000000668,0,0,0,0,0,0
QCT1000000669,0,0,0,0,0,0
QCT1000000670,0,0,0,0,0,0
QCT1000000671,0,0,0,0,0,0
QCT1000000672,0,0,0,0,0,0
QCT1000000673,0,0,0,0,0,0
QCT1000000674,0,0,0,0,0,0
QCT1000000675,0,0,0,0,0,0
QCT1000000676,0,0,0,0,0,0
QCT1000000677,0,0,0,0,0,0
QCT1000000678,0,0,0,0,0,0
QCT1000000679,0,0,0,0,0,0
QCT1000000680,0,0,0,0,0,0
QCT1000000681,0,0,0,0,0,0
QCT1000000682,0,0,0,0,0,0
QCT1000000683,0,0,0,0,0,0
QCT1000000684,1,1,1,1,1,1
QCT1000000685,0,0,0,0,0,0
QCT1000000686,0,0,0,0,0,0
QCT1000000687,0,0,0,0,0,0
QCT1000000688,0,0,0,0,0,0
QCT1000000689,0,0,0,0,0,0
QCT1000000690,0,0,0,0,0,0
QCT1000000691,1,1,1,1,1,1
QCT1000000692,0,0,0,0,0,0
QCT1000000693,0,0,0,0,0,0
QCT1000000694,0,0,0,0,0,0
QCT1000000695,0,0,0,0,0,0
QCT1000000696,0,0,0,0,0,0
QCT1000000697,0,0,0,0,0,0
